procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1 2213632 6313592  15164 451740    0    0    66   168  421   76  6  3 90  1  0
 0  0 2213376 5236552  15468 476984    0    0 25152    52 13926 12539  8  7 84  1  0
 1  0 2213120 4484064  15468 476332    0    0   808     0 13478 11949  7  5 87  0  0
 0  0 2212864 4182744  15484 478248    0    0  1236   164 13485 11892  7  4 90  0  0
 1  0 2205440 3118952  15484 475060    8    0  4192     0 13859 13126  9  7 84  0  0
 1  0 2205440 2265148  15484 476016    0    0     0     0 13579 11821  8  6 86  0  0
 0  0 2196992 2047532  15492 497192    0    0  5208    40 13699 13346  7  4 88  1  0
 1  1 2188288 978396  17124 503608   40    0  8528     0 15304 14496  9  8 82  1  0
 3  0 2185216 113240  17872 498344  132    0  5096     4 15219 15425 11  9 80  0  0
 0  0 2187008 128860   5364 335956    0    0  6800     0 15518 17522  7  7 86  0  0
 2  0 2745088 152744    868 227492   12   24 27772   284 116798 23305 10 41 47  2  0
 1  0 3317248 286260   1604 252148    8    0 56428     0 108075 18688 10 20 67  3  0
 3  0 3772672 116508    548 231788    0    0 18992    32 106837 22828  8 18 72  2  0
 1  0 4345344 249216   1036 302944    8    0 76668    20 94639 21280  7 18 70  4  0
 3  0 4882176 107376    772 244680    0    0 22332   100 113800 23612  9 19 70  1  0
 2  0 5327616 156612   1328 337836   28    0 95492    12 105466 30314 10 20 64  5  0
 2  0 5949440 106716    792 272760   12    0 34400     0 142548 26636 11 22 65  1  0
 4  0 6358784 144284   2088 318548   64    0 74472    80 80806 26764 12 19 65  4  0
 2  0 2061568 4783524   2508 332148    0    0  7604    12 14727 14837  8 11 80  1  0
 1  0 2057984 6370396   2800 336292    8    0  5708   220 14321 14695  8  4 87  1  0
 1  0 2057216 6358236   4972 346044    0    0 10128   144 14857 13451  6  2 91  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 2055168 6317080   4972 371508    8    0   572     0 17347 17180  9  4 86  0  0
 2  1 2054144 6314920   4984 371624    0    0   308    48 14479 12771  7  2 91  0  0
 1  0 2045952 6297768   4984 381776    4    0  9740     0 14305 13623  7  2 90  0  0
 1  0 2045696 6297612   5012 383272    0    0   128    96 13565 11536  6  2 91  1  0
